RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	10.000000	8.000000	0.000000	76.000000	--------	0.106383	0.000000	INFINITY	0.106383	0.000000	--------	0.924790	0.116279	1.000000	0.593104	0.020685	
1.0	1.000000	14.000000	8.000000	0.000000	72.000000	--------	0.148936	0.000000	INFINITY	0.148936	0.000000	--------	0.928748	0.162791	1.000000	0.600467	0.028960	
2.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
3.0	1.000000	3.000000	8.000000	0.000000	83.000000	--------	0.031915	0.000000	INFINITY	0.031915	0.000000	--------	0.917862	0.034884	1.000000	1.000000	0.006206	
4.0	1.000000	14.000000	8.000000	0.000000	72.000000	--------	0.148936	0.000000	INFINITY	0.148936	0.000000	--------	0.928748	0.162791	1.000000	0.600467	0.028960	
5.0	1.000000	4.000000	8.000000	0.000000	82.000000	--------	0.042553	0.000000	INFINITY	0.042553	0.000000	--------	0.918852	0.046512	1.000000	1.000000	0.008274	
6.0	1.000000	3.000000	8.000000	0.000000	83.000000	--------	0.031915	0.000000	INFINITY	0.031915	0.000000	--------	0.917862	0.034884	1.000000	1.000000	0.006206	
7.0	1.000000	3.000000	8.000000	0.000000	83.000000	--------	0.031915	0.000000	INFINITY	0.031915	0.000000	--------	0.917862	0.034884	1.000000	1.000000	0.006206	
8.0	1.000000	13.000000	8.000000	0.000000	73.000000	--------	0.138298	0.000000	INFINITY	0.138298	0.000000	--------	0.927759	0.151163	1.000000	0.593911	0.026891	
9.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
10.0	1.000000	7.000000	8.000000	0.000000	79.000000	--------	0.074468	0.000000	INFINITY	0.074468	0.000000	--------	0.921821	0.081395	1.000000	1.000000	0.014480	
11.0	1.000000	3.000000	8.000000	0.000000	83.000000	--------	0.031915	0.000000	INFINITY	0.031915	0.000000	--------	0.917862	0.034884	1.000000	1.000000	0.006206	
12.0	1.000000	7.000000	8.000000	0.000000	79.000000	--------	0.074468	0.000000	INFINITY	0.074468	0.000000	--------	0.921821	0.081395	1.000000	1.000000	0.014480	
13.0	1.000000	3.000000	8.000000	0.000000	83.000000	--------	0.031915	0.000000	INFINITY	0.031915	0.000000	--------	0.917862	0.034884	1.000000	1.000000	0.006206	
14.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
15.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
16.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
17.0	1.000000	3.000000	8.000000	0.000000	83.000000	--------	0.031915	0.000000	INFINITY	0.031915	0.000000	--------	0.917862	0.034884	1.000000	1.000000	0.006206	
18.0	1.000000	4.000000	8.000000	0.000000	82.000000	--------	0.042553	0.000000	INFINITY	0.042553	0.000000	--------	0.918852	0.046512	1.000000	1.000000	0.008274	
19.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
20.0	1.000000	3.000000	8.000000	0.000000	83.000000	--------	0.031915	0.000000	INFINITY	0.031915	0.000000	--------	0.917862	0.034884	1.000000	1.000000	0.006206	
21.0	1.000000	6.000000	8.000000	0.000000	80.000000	--------	0.063830	0.000000	INFINITY	0.063830	0.000000	--------	0.920831	0.069767	1.000000	1.000000	0.012411	
22.0	1.000000	3.000000	8.000000	0.000000	83.000000	--------	0.031915	0.000000	INFINITY	0.031915	0.000000	--------	0.917862	0.034884	1.000000	1.000000	0.006206	
23.0	1.000000	5.000000	8.000000	0.000000	81.000000	--------	0.053191	0.000000	INFINITY	0.053191	0.000000	--------	0.919842	0.058140	1.000000	1.000000	0.010343	
24.0	1.000000	3.000000	8.000000	0.000000	83.000000	--------	0.031915	0.000000	INFINITY	0.031915	0.000000	--------	0.917862	0.034884	1.000000	1.000000	0.006206	
25.0	1.000000	2.000000	8.000000	0.000000	84.000000	--------	0.021277	0.000000	INFINITY	0.021277	0.000000	--------	0.916873	0.023256	1.000000	1.000000	0.004137	
26.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
27.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
28.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
29.0	1.000000	2.000000	8.000000	0.000000	84.000000	--------	0.021277	0.000000	INFINITY	0.021277	0.000000	--------	0.916873	0.023256	1.000000	1.000000	0.004137	
30.0	1.000000	4.000000	8.000000	0.000000	82.000000	--------	0.042553	0.000000	INFINITY	0.042553	0.000000	--------	0.918852	0.046512	1.000000	1.000000	0.008274	
31.0	1.000000	2.000000	8.000000	0.000000	84.000000	--------	0.021277	0.000000	INFINITY	0.021277	0.000000	--------	0.916873	0.023256	1.000000	1.000000	0.004137	
32.0	1.000000	1.000000	8.000000	0.000000	85.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.915883	0.011628	1.000000	1.000000	0.002069	
