RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	10.000000	5.000000	0.000000	78.000000	--------	0.107527	0.000000	INFINITY	0.107527	0.000000	--------	0.952346	0.113636	1.000000	1.000000	0.012560	
1.0	1.000000	14.000000	5.000000	0.000000	74.000000	--------	0.150538	0.000000	INFINITY	0.150538	0.000000	--------	0.954790	0.159091	1.000000	1.000000	0.017584	
2.0	1.000000	1.000000	5.000000	0.000000	87.000000	--------	0.010753	0.000000	INFINITY	0.010753	0.000000	--------	0.946848	0.011364	1.000000	1.000000	0.001256	
3.0	1.000000	3.000000	5.000000	0.000000	85.000000	--------	0.032258	0.000000	INFINITY	0.032258	0.000000	--------	0.948069	0.034091	1.000000	1.000000	0.003768	
4.0	1.000000	14.000000	5.000000	0.000000	74.000000	--------	0.150538	0.000000	INFINITY	0.150538	0.000000	--------	0.954790	0.159091	1.000000	1.000000	0.017584	
5.0	1.000000	4.000000	5.000000	0.000000	84.000000	--------	0.043011	0.000000	INFINITY	0.043011	0.000000	--------	0.948680	0.045455	1.000000	1.000000	0.005024	
6.0	1.000000	3.000000	5.000000	0.000000	85.000000	--------	0.032258	0.000000	INFINITY	0.032258	0.000000	--------	0.948069	0.034091	1.000000	1.000000	0.003768	
7.0	1.000000	3.000000	5.000000	0.000000	85.000000	--------	0.032258	0.000000	INFINITY	0.032258	0.000000	--------	0.948069	0.034091	1.000000	1.000000	0.003768	
8.0	1.000000	13.000000	5.000000	0.000000	75.000000	--------	0.139785	0.000000	INFINITY	0.139785	0.000000	--------	0.954179	0.147727	1.000000	1.000000	0.016328	
9.0	1.000000	1.000000	5.000000	0.000000	87.000000	--------	0.010753	0.000000	INFINITY	0.010753	0.000000	--------	0.946848	0.011364	1.000000	1.000000	0.001256	
10.0	1.000000	7.000000	5.000000	0.000000	81.000000	--------	0.075269	0.000000	INFINITY	0.075269	0.000000	--------	0.950513	0.079545	1.000000	1.000000	0.008792	
11.0	1.000000	3.000000	5.000000	0.000000	85.000000	--------	0.032258	0.000000	INFINITY	0.032258	0.000000	--------	0.948069	0.034091	1.000000	1.000000	0.003768	
12.0	1.000000	7.000000	5.000000	0.000000	81.000000	--------	0.075269	0.000000	INFINITY	0.075269	0.000000	--------	0.950513	0.079545	1.000000	1.000000	0.008792	
13.0	1.000000	3.000000	5.000000	0.000000	85.000000	--------	0.032258	0.000000	INFINITY	0.032258	0.000000	--------	0.948069	0.034091	1.000000	1.000000	0.003768	
14.0	1.000000	1.000000	5.000000	0.000000	87.000000	--------	0.010753	0.000000	INFINITY	0.010753	0.000000	--------	0.946848	0.011364	1.000000	1.000000	0.001256	
15.0	1.000000	1.000000	5.000000	0.000000	87.000000	--------	0.010753	0.000000	INFINITY	0.010753	0.000000	--------	0.946848	0.011364	1.000000	1.000000	0.001256	
16.0	1.000000	6.000000	5.000000	0.000000	82.000000	--------	0.064516	0.000000	INFINITY	0.064516	0.000000	--------	0.949902	0.068182	1.000000	1.000000	0.007536	
17.0	1.000000	7.000000	5.000000	0.000000	81.000000	--------	0.075269	0.000000	INFINITY	0.075269	0.000000	--------	0.950513	0.079545	1.000000	1.000000	0.008792	
18.0	1.000000	8.000000	5.000000	0.000000	80.000000	--------	0.086022	0.000000	INFINITY	0.086022	0.000000	--------	0.951124	0.090909	1.000000	1.000000	0.010048	
19.0	1.000000	1.000000	5.000000	0.000000	87.000000	--------	0.010753	0.000000	INFINITY	0.010753	0.000000	--------	0.946848	0.011364	1.000000	1.000000	0.001256	
20.0	1.000000	3.000000	5.000000	0.000000	85.000000	--------	0.032258	0.000000	INFINITY	0.032258	0.000000	--------	0.948069	0.034091	1.000000	1.000000	0.003768	
21.0	1.000000	4.000000	5.000000	0.000000	84.000000	--------	0.043011	0.000000	INFINITY	0.043011	0.000000	--------	0.948680	0.045455	1.000000	1.000000	0.005024	
22.0	1.000000	1.000000	5.000000	0.000000	87.000000	--------	0.010753	0.000000	INFINITY	0.010753	0.000000	--------	0.946848	0.011364	1.000000	1.000000	0.001256	
23.0	1.000000	3.000000	5.000000	0.000000	85.000000	--------	0.032258	0.000000	INFINITY	0.032258	0.000000	--------	0.948069	0.034091	1.000000	1.000000	0.003768	
24.0	1.000000	6.000000	5.000000	0.000000	82.000000	--------	0.064516	0.000000	INFINITY	0.064516	0.000000	--------	0.949902	0.068182	1.000000	1.000000	0.007536	
25.0	1.000000	3.000000	5.000000	0.000000	85.000000	--------	0.032258	0.000000	INFINITY	0.032258	0.000000	--------	0.948069	0.034091	1.000000	1.000000	0.003768	
