RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
1.0	1.000000	5.000000	6.000000	0.000000	83.000000	--------	0.053191	0.000000	INFINITY	0.053191	0.000000	--------	0.939797	0.056818	1.000000	1.000000	0.007495	
2.0	1.000000	1.000000	6.000000	0.000000	87.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.936896	0.011364	1.000000	1.000000	0.001499	
4.0	1.000000	9.000000	6.000000	0.000000	79.000000	--------	0.095745	0.000000	INFINITY	0.095745	0.000000	--------	0.942698	0.102273	1.000000	1.000000	0.013491	
5.0	1.000000	26.000000	5.000000	1.000000	62.000000	--------	0.276596	0.166667	1.772727	0.265957	0.000000	--------	0.944391	0.295455	0.962963	0.669579	0.027825	
6.0	1.000000	4.000000	6.000000	0.000000	84.000000	--------	0.042553	0.000000	INFINITY	0.042553	0.000000	--------	0.939072	0.045455	1.000000	1.000000	0.005996	
8.0	1.000000	2.000000	6.000000	0.000000	86.000000	--------	0.021277	0.000000	INFINITY	0.021277	0.000000	--------	0.937621	0.022727	1.000000	1.000000	0.002998	
9.0	1.000000	32.000000	4.000000	2.000000	56.000000	--------	0.340426	0.333333	1.090909	0.319149	0.000000	--------	0.938104	0.363636	0.941176	1.000000	0.025924	
14.0	1.000000	1.000000	6.000000	0.000000	87.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.936896	0.011364	1.000000	1.000000	0.001499	
19.0	1.000000	5.000000	6.000000	0.000000	83.000000	--------	0.053191	0.000000	INFINITY	0.053191	0.000000	--------	0.939797	0.056818	1.000000	1.000000	0.007495	
20.0	1.000000	53.000000	4.000000	2.000000	35.000000	--------	0.563830	0.333333	1.806818	0.542553	0.000000	--------	0.953337	0.602273	0.963636	0.228516	0.057140	
21.0	1.000000	40.000000	1.000000	5.000000	48.000000	--------	0.425532	0.833333	0.545455	0.372340	0.000000	--------	0.911992	0.454545	0.888889	0.100704	0.006424	
22.0	1.000000	4.000000	6.000000	0.000000	84.000000	--------	0.042553	0.000000	INFINITY	0.042553	0.000000	--------	0.939072	0.045455	1.000000	1.000000	0.005996	
31.0	1.000000	1.000000	6.000000	0.000000	87.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.936896	0.011364	1.000000	1.000000	0.001499	
32.0	1.000000	1.000000	6.000000	0.000000	87.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.936896	0.011364	1.000000	1.000000	0.001499	
33.0	1.000000	21.000000	6.000000	0.000000	67.000000	--------	0.223404	0.000000	INFINITY	0.223404	0.000000	--------	0.951402	0.238636	1.000000	0.331877	0.031480	
36.0	1.000000	6.000000	6.000000	0.000000	82.000000	--------	0.063830	0.000000	INFINITY	0.063830	0.000000	--------	0.940522	0.068182	1.000000	1.000000	0.008994	
38.0	1.000000	10.000000	6.000000	0.000000	78.000000	--------	0.106383	0.000000	INFINITY	0.106383	0.000000	--------	0.943424	0.113636	1.000000	1.000000	0.014990	
39.0	1.000000	78.000000	0.000000	6.000000	10.000000	--------	0.829787	1.000000	0.886364	0.765957	0.000000	--------	0.928917	0.886364	0.928571	1.000000	0.051239	
41.0	1.000000	16.000000	6.000000	0.000000	72.000000	--------	0.170213	0.000000	INFINITY	0.170213	0.000000	--------	0.947776	0.181818	1.000000	0.585150	0.023985	
42.0	1.000000	46.000000	3.000000	3.000000	42.000000	--------	0.489362	0.500000	1.045455	0.457447	0.000000	--------	0.937621	0.522727	0.938776	1.000000	0.035931	
44.0	1.000000	4.000000	6.000000	0.000000	84.000000	--------	0.042553	0.000000	INFINITY	0.042553	0.000000	--------	0.939072	0.045455	1.000000	1.000000	0.005996	
46.0	1.000000	7.000000	6.000000	0.000000	81.000000	--------	0.074468	0.000000	INFINITY	0.074468	0.000000	--------	0.941248	0.079545	1.000000	1.000000	0.010493	
47.0	1.000000	38.000000	6.000000	0.000000	50.000000	--------	0.404255	0.000000	INFINITY	0.404255	0.000000	--------	0.963733	0.431818	1.000000	0.077790	0.056964	
48.0	1.000000	23.000000	6.000000	0.000000	65.000000	--------	0.244681	0.000000	INFINITY	0.244681	0.000000	--------	0.952853	0.261364	1.000000	0.330299	0.034478	
49.0	1.000000	14.000000	6.000000	0.000000	74.000000	--------	0.148936	0.000000	INFINITY	0.148936	0.000000	--------	0.946325	0.159091	1.000000	0.586645	0.020987	
51.0	1.000000	42.000000	6.000000	0.000000	46.000000	--------	0.446809	0.000000	INFINITY	0.446809	0.000000	--------	0.966634	0.477273	1.000000	0.031447	0.062960	
53.0	1.000000	16.000000	6.000000	0.000000	72.000000	--------	0.170213	0.000000	INFINITY	0.170213	0.000000	--------	0.947776	0.181818	1.000000	0.585150	0.023985	
54.0	1.000000	16.000000	6.000000	0.000000	72.000000	--------	0.170213	0.000000	INFINITY	0.170213	0.000000	--------	0.947776	0.181818	1.000000	0.585150	0.023985	
55.0	1.000000	52.000000	6.000000	0.000000	36.000000	--------	0.553191	0.000000	INFINITY	0.553191	0.000000	--------	0.973888	0.590909	1.000000	0.006443	0.077950	
57.0	1.000000	72.000000	4.000000	2.000000	16.000000	--------	0.765957	0.333333	2.454545	0.744681	0.000000	--------	0.967118	0.818182	0.972973	0.017529	0.085514	
58.0	1.000000	20.000000	6.000000	0.000000	68.000000	--------	0.212766	0.000000	INFINITY	0.212766	0.000000	--------	0.950677	0.227273	1.000000	0.335811	0.029981	
59.0	1.000000	18.000000	6.000000	0.000000	70.000000	--------	0.191489	0.000000	INFINITY	0.191489	0.000000	--------	0.949226	0.204545	1.000000	0.591574	0.026983	
61.0	1.000000	1.000000	6.000000	0.000000	87.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.936896	0.011364	1.000000	1.000000	0.001499	
64.0	1.000000	13.000000	6.000000	0.000000	75.000000	--------	0.138298	0.000000	INFINITY	0.138298	0.000000	--------	0.945600	0.147727	1.000000	0.590919	0.019488	
65.0	1.000000	16.000000	6.000000	0.000000	72.000000	--------	0.170213	0.000000	INFINITY	0.170213	0.000000	--------	0.947776	0.181818	1.000000	0.585150	0.023985	
68.0	1.000000	1.000000	6.000000	0.000000	87.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.936896	0.011364	1.000000	1.000000	0.001499	
69.0	1.000000	1.000000	6.000000	0.000000	87.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.936896	0.011364	1.000000	1.000000	0.001499	
70.0	1.000000	1.000000	6.000000	0.000000	87.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.936896	0.011364	1.000000	1.000000	0.001499	
