RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	13.000000	2.000000	4.000000	75.000000	--------	0.138298	0.666667	0.221591	0.095745	0.000000	--------	0.903046	0.147727	0.764706	0.009153	-0.020142	
1.0	1.000000	5.000000	6.000000	0.000000	83.000000	--------	0.053191	0.000000	INFINITY	0.053191	0.000000	--------	0.939797	0.056818	1.000000	1.000000	0.007495	
2.0	1.000000	1.000000	6.000000	0.000000	87.000000	--------	0.010638	0.000000	INFINITY	0.010638	0.000000	--------	0.936896	0.011364	1.000000	1.000000	0.001499	
3.0	1.000000	24.000000	3.000000	3.000000	64.000000	--------	0.255319	0.500000	0.545455	0.223404	0.000000	--------	0.921663	0.272727	0.888889	0.349324	0.003854	
4.0	1.000000	9.000000	6.000000	0.000000	79.000000	--------	0.095745	0.000000	INFINITY	0.095745	0.000000	--------	0.942698	0.102273	1.000000	1.000000	0.013491	
5.0	1.000000	26.000000	5.000000	1.000000	62.000000	--------	0.276596	0.166667	1.772727	0.265957	0.000000	--------	0.944391	0.295455	0.962963	0.669579	0.027825	
6.0	1.000000	4.000000	6.000000	0.000000	84.000000	--------	0.042553	0.000000	INFINITY	0.042553	0.000000	--------	0.939072	0.045455	1.000000	1.000000	0.005996	
7.0	1.000000	8.000000	4.000000	2.000000	80.000000	--------	0.085106	0.333333	0.272727	0.063830	0.000000	--------	0.920696	0.090909	0.800000	0.121608	-0.008293	
8.0	1.000000	2.000000	6.000000	0.000000	86.000000	--------	0.021277	0.000000	INFINITY	0.021277	0.000000	--------	0.937621	0.022727	1.000000	1.000000	0.002998	
9.0	1.000000	32.000000	4.000000	2.000000	56.000000	--------	0.340426	0.333333	1.090909	0.319149	0.000000	--------	0.938104	0.363636	0.941176	1.000000	0.025924	
10.0	1.000000	33.000000	4.000000	2.000000	55.000000	--------	0.351064	0.333333	1.125000	0.329787	0.000000	--------	0.938830	0.375000	0.942857	1.000000	0.027403	
11.0	1.000000	17.000000	5.000000	1.000000	71.000000	--------	0.180851	0.166667	1.159091	0.170213	0.000000	--------	0.937863	0.193182	0.944444	1.000000	0.014442	
12.0	1.000000	18.000000	5.000000	1.000000	70.000000	--------	0.191489	0.166667	1.227273	0.180851	0.000000	--------	0.938588	0.204545	0.947368	1.000000	0.015924	
