RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
1.0	1.000000	5.000000	5.000000	0.000000	83.000000	--------	0.053763	0.000000	INFINITY	0.053763	0.000000	--------	0.949291	0.056818	1.000000	1.000000	0.006280	
2.0	1.000000	1.000000	5.000000	0.000000	87.000000	--------	0.010753	0.000000	INFINITY	0.010753	0.000000	--------	0.946848	0.011364	1.000000	1.000000	0.001256	
4.0	1.000000	9.000000	5.000000	0.000000	79.000000	--------	0.096774	0.000000	INFINITY	0.096774	0.000000	--------	0.951735	0.102273	1.000000	1.000000	0.011304	
5.0	1.000000	26.000000	4.000000	1.000000	62.000000	--------	0.279570	0.200000	1.477273	0.268817	0.000000	--------	0.951369	0.295455	0.962963	1.000000	0.021505	
6.0	1.000000	4.000000	5.000000	0.000000	84.000000	--------	0.043011	0.000000	INFINITY	0.043011	0.000000	--------	0.948680	0.045455	1.000000	1.000000	0.005024	
8.0	1.000000	2.000000	5.000000	0.000000	86.000000	--------	0.021505	0.000000	INFINITY	0.021505	0.000000	--------	0.947458	0.022727	1.000000	1.000000	0.002512	
9.0	1.000000	32.000000	3.000000	2.000000	56.000000	--------	0.344086	0.400000	0.909091	0.322581	0.000000	--------	0.944282	0.363636	0.941176	1.000000	0.018146	
14.0	1.000000	1.000000	5.000000	0.000000	87.000000	--------	0.010753	0.000000	INFINITY	0.010753	0.000000	--------	0.946848	0.011364	1.000000	1.000000	0.001256	
19.0	1.000000	5.000000	5.000000	0.000000	83.000000	--------	0.053763	0.000000	INFINITY	0.053763	0.000000	--------	0.949291	0.056818	1.000000	1.000000	0.006280	
20.0	1.000000	53.000000	3.000000	2.000000	35.000000	--------	0.569892	0.400000	1.505682	0.548387	0.000000	--------	0.957111	0.602273	0.963636	0.395757	0.044257	
21.0	1.000000	40.000000	1.000000	4.000000	48.000000	--------	0.430108	0.800000	0.568182	0.387097	0.000000	--------	0.927664	0.454545	0.909091	0.185577	0.006916	
22.0	1.000000	4.000000	5.000000	0.000000	84.000000	--------	0.043011	0.000000	INFINITY	0.043011	0.000000	--------	0.948680	0.045455	1.000000	1.000000	0.005024	
31.0	1.000000	1.000000	5.000000	0.000000	87.000000	--------	0.010753	0.000000	INFINITY	0.010753	0.000000	--------	0.946848	0.011364	1.000000	1.000000	0.001256	
