RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	108.000000	4168.000000	0.000000	1110.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.294760	0.088670	1.000000	0.000000	0.263632	
1.0	2.000000	86.000000	4168.000000	0.000000	1132.000000	--------	0.015967	0.000000	INFINITY	0.015967	0.000000	--------	0.280782	0.070608	1.000000	0.000000	0.209929	
2.0	2.000000	59.000000	4168.000000	0.000000	1159.000000	--------	0.010954	0.000000	INFINITY	0.010954	0.000000	--------	0.263628	0.048440	1.000000	0.000000	0.144021	
3.0	2.000000	63.000000	4168.000000	0.000000	1155.000000	--------	0.011697	0.000000	INFINITY	0.011697	0.000000	--------	0.266169	0.051724	1.000000	0.000000	0.153785	
4.0	2.000000	122.000000	4168.000000	0.000000	1096.000000	--------	0.022651	0.000000	INFINITY	0.022651	0.000000	--------	0.303655	0.100164	1.000000	0.000000	0.297807	
5.0	2.000000	173.000000	4168.000000	0.000000	1045.000000	--------	0.032120	0.000000	INFINITY	0.032120	0.000000	--------	0.336058	0.142036	1.000000	0.000000	0.422300	
6.0	2.000000	63.000000	4168.000000	0.000000	1155.000000	--------	0.011697	0.000000	INFINITY	0.011697	0.000000	--------	0.266169	0.051724	1.000000	0.000000	0.153785	
7.0	2.000000	72.000000	4168.000000	0.000000	1146.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.271887	0.059113	1.000000	0.000000	0.175755	
8.0	2.000000	68.000000	4168.000000	0.000000	1150.000000	--------	0.012625	0.000000	INFINITY	0.012625	0.000000	--------	0.269346	0.055829	1.000000	0.000000	0.165991	
9.0	2.000000	58.000000	4168.000000	0.000000	1160.000000	--------	0.010769	0.000000	INFINITY	0.010769	0.000000	--------	0.262992	0.047619	1.000000	0.000000	0.141580	
10.0	2.000000	122.000000	4168.000000	0.000000	1096.000000	--------	0.022651	0.000000	INFINITY	0.022651	0.000000	--------	0.303655	0.100164	1.000000	0.000000	0.297807	
11.0	2.000000	195.000000	4168.000000	0.000000	1023.000000	--------	0.036205	0.000000	INFINITY	0.036205	0.000000	--------	0.350035	0.160099	1.000000	0.000000	0.476003	
12.0	3.000000	72.000000	4168.000000	0.000000	1146.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.271887	0.059113	1.000000	0.000000	0.175755	
13.0	2.000000	108.000000	4168.000000	0.000000	1110.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.294760	0.088670	1.000000	0.000000	0.263632	
14.0	2.000000	111.000000	4168.000000	0.000000	1107.000000	--------	0.020609	0.000000	INFINITY	0.020609	0.000000	--------	0.296666	0.091133	1.000000	0.000000	0.270955	
15.0	2.000000	60.000000	4168.000000	0.000000	1158.000000	--------	0.011140	0.000000	INFINITY	0.011140	0.000000	--------	0.264263	0.049261	1.000000	0.000000	0.146462	
16.0	2.000000	72.000000	4168.000000	0.000000	1146.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.271887	0.059113	1.000000	0.000000	0.175755	
17.0	2.000000	60.000000	4168.000000	0.000000	1158.000000	--------	0.011140	0.000000	INFINITY	0.011140	0.000000	--------	0.264263	0.049261	1.000000	0.000000	0.146462	
18.0	2.000000	120.000000	4168.000000	0.000000	1098.000000	--------	0.022280	0.000000	INFINITY	0.022280	0.000000	--------	0.302384	0.098522	1.000000	0.000000	0.292925	
19.0	2.000000	122.000000	4168.000000	0.000000	1096.000000	--------	0.022651	0.000000	INFINITY	0.022651	0.000000	--------	0.303655	0.100164	1.000000	0.000000	0.297807	
20.0	2.000000	125.000000	4168.000000	0.000000	1093.000000	--------	0.023208	0.000000	INFINITY	0.023208	0.000000	--------	0.305561	0.102627	1.000000	0.000000	0.305130	
21.0	2.000000	108.000000	4168.000000	0.000000	1110.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.294760	0.088670	1.000000	0.000000	0.263632	
22.0	2.000000	108.000000	4168.000000	0.000000	1110.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.294760	0.088670	1.000000	0.000000	0.263632	
23.0	2.000000	72.000000	4168.000000	0.000000	1146.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.271887	0.059113	1.000000	0.000000	0.175755	
24.0	2.000000	72.000000	4168.000000	0.000000	1146.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.271887	0.059113	1.000000	0.000000	0.175755	
25.0	2.000000	58.000000	4168.000000	0.000000	1160.000000	--------	0.010769	0.000000	INFINITY	0.010769	0.000000	--------	0.262992	0.047619	1.000000	0.000000	0.141580	
26.0	2.000000	72.000000	4564.000000	0.000000	750.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.226841	0.087591	1.000000	0.000000	0.329311	
27.0	2.000000	72.000000	4564.000000	0.000000	750.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.226841	0.087591	1.000000	0.000000	0.329311	
28.0	2.000000	144.000000	4564.000000	0.000000	678.000000	--------	0.026736	0.000000	INFINITY	0.026736	0.000000	--------	0.301064	0.175182	1.000000	0.000000	0.658622	
29.0	2.000000	96.000000	4564.000000	0.000000	726.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.251582	0.116788	1.000000	0.000000	0.439082	
30.0	2.000000	192.000000	4564.000000	0.000000	630.000000	--------	0.035648	0.000000	INFINITY	0.035648	0.000000	--------	0.350547	0.233577	1.000000	0.000000	0.878163	
31.0	2.000000	144.000000	4564.000000	0.000000	678.000000	--------	0.026736	0.000000	INFINITY	0.026736	0.000000	--------	0.301064	0.175182	1.000000	0.000000	0.658622	
