RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	2.000000	96.000000	5246.000000	0.000000	44.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.693884	0.685714	1.000000	0.000000	5.005599	
1.0	2.000000	96.000000	5246.000000	0.000000	44.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.693884	0.685714	1.000000	0.000000	5.005599	
2.0	2.000000	96.000000	5246.000000	0.000000	44.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.693884	0.685714	1.000000	0.000000	5.005599	
3.0	1.000000	256.000000	4599.000000	0.000000	531.000000	--------	0.047531	0.000000	INFINITY	0.047531	0.000000	--------	0.423875	0.325286	1.000000	0.000000	1.251264	
4.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
5.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
6.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
7.0	3.000000	72.000000	4599.000000	0.000000	715.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.224238	0.091487	1.000000	0.000000	0.351918	
8.0	2.000000	72.000000	4599.000000	0.000000	715.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.224238	0.091487	1.000000	0.000000	0.351918	
9.0	2.000000	72.000000	4599.000000	0.000000	715.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.224238	0.091487	1.000000	0.000000	0.351918	
10.0	2.000000	64.000000	4599.000000	0.000000	723.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.215558	0.081321	1.000000	0.000000	0.312816	
11.0	3.000000	128.000000	4599.000000	0.000000	659.000000	--------	0.023765	0.000000	INFINITY	0.023765	0.000000	--------	0.284997	0.162643	1.000000	0.000000	0.625632	
12.0	3.000000	64.000000	4599.000000	0.000000	723.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.215558	0.081321	1.000000	0.000000	0.312816	
13.0	2.000000	64.000000	4599.000000	0.000000	723.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.215558	0.081321	1.000000	0.000000	0.312816	
14.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
15.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
16.0	3.000000	64.000000	4599.000000	0.000000	723.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.215558	0.081321	1.000000	0.000000	0.312816	
17.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
18.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
19.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
21.0	2.000000	64.000000	4599.000000	0.000000	723.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.215558	0.081321	1.000000	0.000000	0.312816	
22.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
23.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
24.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
25.0	3.000000	64.000000	4599.000000	0.000000	723.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.215558	0.081321	1.000000	0.000000	0.312816	
