RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	72.000000	4943.000000	0.000000	371.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.231411	0.162528	1.000000	0.000000	0.811987	
1.0	2.000000	70.000000	4943.000000	0.000000	373.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.227267	0.158014	1.000000	0.000000	0.789432	
2.0	2.000000	70.000000	4943.000000	0.000000	373.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.227267	0.158014	1.000000	0.000000	0.789432	
3.0	2.000000	70.000000	4943.000000	0.000000	373.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.227267	0.158014	1.000000	0.000000	0.789432	
4.0	2.000000	70.000000	4943.000000	0.000000	373.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.227267	0.158014	1.000000	0.000000	0.789432	
5.0	2.000000	70.000000	4943.000000	0.000000	373.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.227267	0.158014	1.000000	0.000000	0.789432	
6.0	2.000000	70.000000	4943.000000	0.000000	373.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.227267	0.158014	1.000000	0.000000	0.789432	
7.0	2.000000	70.000000	4943.000000	0.000000	373.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.227267	0.158014	1.000000	0.000000	0.789432	
8.0	2.000000	70.000000	4943.000000	0.000000	373.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.227267	0.158014	1.000000	0.000000	0.789432	
9.0	2.000000	70.000000	4943.000000	0.000000	373.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.227267	0.158014	1.000000	0.000000	0.789432	
--------	--------	0.000000	5188.000000	0.000000	198.000000	0.092833	0.013034	0.000000	1.000000	0.013034	10.000000	0.500000	0.227681	0.158465	1.000000	1.000000	0.791688	
