RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	576.000000	923.000000	0.000000	3887.000000	--------	0.106944	0.000000	INFINITY	0.106944	0.000000	--------	0.850747	0.129061	1.000000	0.000000	0.048522	
1.0	1.000000	1223.000000	923.000000	0.000000	3240.000000	--------	0.227070	0.000000	INFINITY	0.227070	0.000000	--------	0.875591	0.274031	1.000000	0.000000	0.103026	
2.0	1.000000	96.000000	923.000000	0.000000	4367.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.832316	0.021510	1.000000	0.000000	0.008087	
3.0	1.000000	1215.000000	923.000000	0.000000	3248.000000	--------	0.225585	0.000000	INFINITY	0.225585	0.000000	--------	0.875283	0.272238	1.000000	0.000000	0.102352	
4.0	1.000000	256.000000	923.000000	0.000000	4207.000000	--------	0.047531	0.000000	INFINITY	0.047531	0.000000	--------	0.838460	0.057361	1.000000	0.000000	0.021565	
5.0	1.000000	190.000000	923.000000	0.000000	4273.000000	--------	0.035277	0.000000	INFINITY	0.035277	0.000000	--------	0.835925	0.042572	1.000000	0.000000	0.016006	
6.0	1.000000	288.000000	923.000000	0.000000	4175.000000	--------	0.053472	0.000000	INFINITY	0.053472	0.000000	--------	0.839688	0.064531	1.000000	0.000000	0.024261	
7.0	1.000000	74.000000	923.000000	0.000000	4389.000000	--------	0.013739	0.000000	INFINITY	0.013739	0.000000	--------	0.831471	0.016581	1.000000	0.000001	0.006234	
8.0	1.000000	72.000000	923.000000	0.000000	4391.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.831394	0.016133	1.000000	0.000002	0.006065	
9.0	1.000000	108.000000	923.000000	0.000000	4355.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.832777	0.024199	1.000000	0.000000	0.009098	
10.0	1.000000	413.000000	923.000000	0.000000	4050.000000	--------	0.076680	0.000000	INFINITY	0.076680	0.000000	--------	0.844488	0.092539	1.000000	0.000000	0.034791	
11.0	1.000000	66.000000	923.000000	0.000000	4397.000000	--------	0.012254	0.000000	INFINITY	0.012254	0.000000	--------	0.831164	0.014788	1.000000	0.000008	0.005560	
12.0	1.000000	661.000000	923.000000	0.000000	3802.000000	--------	0.122726	0.000000	INFINITY	0.122726	0.000000	--------	0.854011	0.148107	1.000000	0.000000	0.055683	
13.0	1.000000	73.000000	923.000000	0.000000	4390.000000	--------	0.013554	0.000000	INFINITY	0.013554	0.000000	--------	0.831433	0.016357	1.000000	0.000002	0.006150	
14.0	1.000000	459.000000	923.000000	0.000000	4004.000000	--------	0.085221	0.000000	INFINITY	0.085221	0.000000	--------	0.846254	0.102846	1.000000	0.000000	0.038666	
15.0	1.000000	405.000000	923.000000	0.000000	4058.000000	--------	0.075195	0.000000	INFINITY	0.075195	0.000000	--------	0.844181	0.090746	1.000000	0.000000	0.034117	
16.0	1.000000	112.000000	923.000000	0.000000	4351.000000	--------	0.020795	0.000000	INFINITY	0.020795	0.000000	--------	0.832930	0.025095	1.000000	0.000000	0.009435	
17.0	1.000000	411.000000	923.000000	0.000000	4052.000000	--------	0.076309	0.000000	INFINITY	0.076309	0.000000	--------	0.844411	0.092091	1.000000	0.000000	0.034623	
18.0	2.000000	96.000000	923.000000	0.000000	4367.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.832316	0.021510	1.000000	0.000000	0.008087	
19.0	2.000000	96.000000	923.000000	0.000000	4367.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.832316	0.021510	1.000000	0.000000	0.008087	
