RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
1.0	2.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
2.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
3.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
4.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
5.0	2.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
6.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
7.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
8.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
9.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
10.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
11.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
12.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
13.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
14.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
15.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
16.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
17.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
18.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
19.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
--------	--------	0.000000	5383.000000	0.000000	3.000000	0.330858	0.012607	0.000000	1.000000	0.012607	20.000000	0.500000	0.362779	0.037287	1.000000	1.000000	0.080870	
