RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
1.0	2.000000	54.000000	4426.000000	0.000000	906.000000	--------	0.010026	0.000000	INFINITY	0.010026	0.000000	--------	0.224464	0.056250	1.000000	0.000000	0.194020	
5.0	2.000000	61.000000	4402.000000	24.000000	899.000000	--------	0.011326	0.005423	11.718142	0.006870	0.000000	--------	0.226000	0.063542	0.717647	0.000000	0.198089	
6.0	2.000000	108.000000	4426.000000	0.000000	852.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.270688	0.112500	1.000000	0.000000	0.388041	
12.0	2.000000	57.000000	4128.000000	19.000000	1182.000000	--------	0.010583	0.004582	10.041162	0.007055	0.000000	--------	0.261935	0.046005	0.750000	0.000000	0.121973	
14.0	3.000000	54.000000	4426.000000	0.000000	906.000000	--------	0.010026	0.000000	INFINITY	0.010026	0.000000	--------	0.224464	0.056250	1.000000	0.000000	0.194020	
15.0	3.000000	108.000000	4426.000000	0.000000	852.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.270688	0.112500	1.000000	0.000000	0.388041	
16.0	3.000000	108.000000	4426.000000	0.000000	852.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.270688	0.112500	1.000000	0.000000	0.388041	
17.0	3.000000	108.000000	4426.000000	0.000000	852.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.270688	0.112500	1.000000	0.000000	0.388041	
18.0	3.000000	66.000000	4408.000000	18.000000	894.000000	--------	0.012254	0.004067	16.904861	0.008912	0.000000	--------	0.231394	0.068750	0.785714	0.000000	0.220556	
20.0	3.000000	54.000000	4426.000000	0.000000	906.000000	--------	0.010026	0.000000	INFINITY	0.010026	0.000000	--------	0.224464	0.056250	1.000000	0.000000	0.194020	
21.0	3.000000	54.000000	4416.000000	10.000000	906.000000	--------	0.010026	0.002259	24.896250	0.008169	0.000000	--------	0.222607	0.056250	0.843750	0.000000	0.184463	
22.0	3.000000	108.000000	4426.000000	0.000000	852.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.270688	0.112500	1.000000	0.000000	0.388041	
24.0	3.000000	60.000000	4398.000000	28.000000	900.000000	--------	0.011140	0.006326	9.879464	0.005941	0.000000	--------	0.224401	0.062500	0.681818	0.000000	0.191641	
25.0	3.000000	56.000000	4368.000000	0.000000	962.000000	--------	0.010397	0.000000	INFINITY	0.010397	0.000000	--------	0.233621	0.055010	1.000000	0.000000	0.183289	
26.0	3.000000	56.000000	4352.000000	16.000000	962.000000	--------	0.010397	0.003663	15.017682	0.007427	0.000000	--------	0.230650	0.055010	0.777778	0.000000	0.169464	
27.0	3.000000	56.000000	4344.000000	24.000000	962.000000	--------	0.010397	0.005495	10.011788	0.005941	0.000000	--------	0.229165	0.055010	0.700000	0.000000	0.163668	
29.0	3.000000	56.000000	4344.000000	24.000000	962.000000	--------	0.010397	0.005495	10.011788	0.005941	0.000000	--------	0.229165	0.055010	0.700000	0.000000	0.163668	
30.0	3.000000	96.000000	4368.000000	0.000000	922.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.265487	0.094303	1.000000	0.000000	0.314209	
32.0	3.000000	56.000000	4368.000000	0.000000	962.000000	--------	0.010397	0.000000	INFINITY	0.010397	0.000000	--------	0.233621	0.055010	1.000000	0.000000	0.183289	
33.0	3.000000	96.000000	4368.000000	0.000000	922.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.265487	0.094303	1.000000	0.000000	0.314209	
37.0	3.000000	96.000000	4368.000000	0.000000	922.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.265487	0.094303	1.000000	0.000000	0.314209	
38.0	3.000000	98.000000	4336.000000	32.000000	920.000000	--------	0.018195	0.007326	13.140472	0.012254	0.000000	--------	0.261139	0.096267	0.753846	0.000000	0.293553	
39.0	3.000000	96.000000	4368.000000	0.000000	922.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.265487	0.094303	1.000000	0.000000	0.314209	
40.0	3.000000	80.000000	4336.000000	32.000000	938.000000	--------	0.014853	0.007326	10.726916	0.008912	0.000000	--------	0.246799	0.078585	0.714286	0.000000	0.235399	
41.0	3.000000	102.000000	4352.000000	16.000000	916.000000	--------	0.018938	0.003663	27.353635	0.015967	0.000000	--------	0.267296	0.100196	0.864407	0.000000	0.319247	
42.0	3.000000	102.000000	4352.000000	16.000000	916.000000	--------	0.018938	0.003663	27.353635	0.015967	0.000000	--------	0.267296	0.100196	0.864407	0.000000	0.319247	
