RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	58.000000	4162.000000	6.000000	1160.000000	--------	0.010769	0.001440	33.079365	0.009655	0.000000	--------	0.261878	0.047619	0.906250	0.000000	0.136893	
1.0	1.000000	108.000000	4168.000000	0.000000	1110.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.294760	0.088670	1.000000	0.000000	0.263632	
2.0	1.000000	72.000000	4166.000000	2.000000	1146.000000	--------	0.013368	0.000480	123.192118	0.012997	0.000000	--------	0.271516	0.059113	0.972973	0.000000	0.174135	
3.0	1.000000	92.000000	4127.000000	41.000000	1126.000000	--------	0.017081	0.009837	7.678642	0.009469	0.000000	--------	0.276982	0.075534	0.691729	0.000000	0.196737	
4.0	1.000000	72.000000	4166.000000	2.000000	1146.000000	--------	0.013368	0.000480	123.192118	0.012997	0.000000	--------	0.271516	0.059113	0.972973	0.000000	0.174135	
5.0	1.000000	122.000000	4160.000000	8.000000	1096.000000	--------	0.022651	0.001919	52.185550	0.021166	0.000000	--------	0.302169	0.100164	0.938462	0.000000	0.291445	
6.0	1.000000	197.000000	4160.000000	8.000000	1021.000000	--------	0.036576	0.001919	84.266831	0.035091	0.000000	--------	0.349821	0.161741	0.960976	0.000000	0.474446	
7.0	1.000000	200.000000	4548.000000	16.000000	622.000000	--------	0.037133	0.003506	69.403893	0.034163	0.000000	--------	0.355823	0.243309	0.925926	0.000000	0.896028	
8.0	1.000000	79.000000	3907.000000	2.000000	1398.000000	--------	0.014668	0.000512	104.539946	0.014296	0.000000	--------	0.312677	0.053487	0.975309	0.000000	0.137064	
9.0	1.000000	64.000000	3909.000000	0.000000	1413.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.305678	0.043331	1.000000	0.000000	0.112123	
10.0	1.000000	128.000000	4710.000000	0.000000	548.000000	--------	0.023765	0.000000	INFINITY	0.023765	0.000000	--------	0.291094	0.189349	1.000000	0.000000	0.785937	
11.0	2.000000	62.000000	4166.000000	2.000000	1156.000000	--------	0.011511	0.000480	106.082102	0.011140	0.000000	--------	0.265162	0.050903	0.968750	0.000000	0.149728	
12.0	2.000000	58.000000	4168.000000	0.000000	1160.000000	--------	0.010769	0.000000	INFINITY	0.010769	0.000000	--------	0.262992	0.047619	1.000000	0.000000	0.141580	
13.0	2.000000	75.000000	4165.000000	3.000000	1143.000000	--------	0.013925	0.000720	85.550082	0.013368	0.000000	--------	0.273236	0.061576	0.961538	0.000000	0.180663	
14.0	2.000000	58.000000	4150.000000	18.000000	1160.000000	--------	0.010769	0.004319	11.026455	0.007427	0.000000	--------	0.259650	0.047619	0.763158	0.000000	0.128709	
15.0	2.000000	60.000000	4168.000000	0.000000	1158.000000	--------	0.011140	0.000000	INFINITY	0.011140	0.000000	--------	0.264263	0.049261	1.000000	0.000000	0.146462	
16.0	2.000000	108.000000	4121.000000	47.000000	1110.000000	--------	0.020052	0.011276	7.863327	0.011326	0.000000	--------	0.286033	0.088670	0.696774	0.000000	0.231596	
