RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
1.0	1.000000	108.000000	4168.000000	0.000000	1110.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.294760	0.088670	1.000000	0.000000	0.263632	
2.0	1.000000	72.000000	4166.000000	2.000000	1146.000000	--------	0.013368	0.000480	123.192118	0.012997	0.000000	--------	0.271516	0.059113	0.972973	0.000000	0.174135	
4.0	1.000000	72.000000	4166.000000	2.000000	1146.000000	--------	0.013368	0.000480	123.192118	0.012997	0.000000	--------	0.271516	0.059113	0.972973	0.000000	0.174135	
9.0	1.000000	64.000000	3909.000000	0.000000	1413.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.305678	0.043331	1.000000	0.000000	0.112123	
10.0	1.000000	128.000000	4710.000000	0.000000	548.000000	--------	0.023765	0.000000	INFINITY	0.023765	0.000000	--------	0.291094	0.189349	1.000000	0.000000	0.785937	
11.0	2.000000	62.000000	4166.000000	2.000000	1156.000000	--------	0.011511	0.000480	106.082102	0.011140	0.000000	--------	0.265162	0.050903	0.968750	0.000000	0.149728	
12.0	2.000000	58.000000	4168.000000	0.000000	1160.000000	--------	0.010769	0.000000	INFINITY	0.010769	0.000000	--------	0.262992	0.047619	1.000000	0.000000	0.141580	
14.0	2.000000	58.000000	4150.000000	18.000000	1160.000000	--------	0.010769	0.004319	11.026455	0.007427	0.000000	--------	0.259650	0.047619	0.763158	0.000000	0.128709	
15.0	2.000000	60.000000	4168.000000	0.000000	1158.000000	--------	0.011140	0.000000	INFINITY	0.011140	0.000000	--------	0.264263	0.049261	1.000000	0.000000	0.146462	
19.0	2.000000	72.000000	4136.000000	32.000000	1146.000000	--------	0.013368	0.007678	7.699507	0.007427	0.000000	--------	0.265946	0.059113	0.692308	0.000000	0.154017	
