RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
3.0	1.000000	256.000000	4599.000000	0.000000	531.000000	--------	0.047531	0.000000	INFINITY	0.047531	0.000000	--------	0.423875	0.325286	1.000000	0.000000	1.251264	
4.0	1.000000	58.000000	4439.000000	8.000000	881.000000	--------	0.010769	0.001799	34.335197	0.009283	0.000000	--------	0.223855	0.061768	0.878788	0.000000	0.207804	
6.0	1.000000	128.000000	4447.000000	0.000000	811.000000	--------	0.023765	0.000000	INFINITY	0.023765	0.000000	--------	0.286891	0.136315	1.000000	0.000000	0.476215	
7.0	1.000000	96.000000	4447.000000	0.000000	843.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.258753	0.102236	1.000000	0.000000	0.357161	
13.0	1.000000	108.000000	3658.000000	0.000000	1620.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.363280	0.062500	1.000000	0.000000	0.142105	
22.0	2.000000	96.000000	5246.000000	0.000000	44.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.693884	0.685714	1.000000	0.000000	5.005599	
23.0	2.000000	96.000000	5246.000000	0.000000	44.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.693884	0.685714	1.000000	0.000000	5.005599	
25.0	2.000000	96.000000	5246.000000	0.000000	44.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.693884	0.685714	1.000000	0.000000	5.005599	
28.0	2.000000	64.000000	4599.000000	0.000000	723.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.215558	0.081321	1.000000	0.000000	0.312816	
31.0	2.000000	72.000000	4587.000000	12.000000	715.000000	--------	0.013368	0.002609	35.062262	0.011140	0.000000	--------	0.222010	0.091487	0.857143	0.000000	0.337815	
33.0	2.000000	67.000000	4592.000000	7.000000	720.000000	--------	0.012440	0.001522	55.932656	0.011140	0.000000	--------	0.217514	0.085133	0.905405	0.000000	0.319019	
37.0	2.000000	64.000000	4599.000000	0.000000	723.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.215558	0.081321	1.000000	0.000000	0.312816	
42.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
43.0	2.000000	64.000000	4599.000000	0.000000	723.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.215558	0.081321	1.000000	0.000000	0.312816	
47.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
50.0	2.000000	72.000000	4599.000000	0.000000	715.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.224238	0.091487	1.000000	0.000000	0.351918	
51.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
52.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
53.0	2.000000	96.000000	4599.000000	0.000000	691.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.250278	0.121982	1.000000	0.000000	0.469224	
