RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	204.000000	4522.000000	77.000000	583.000000	--------	0.037876	0.016743	15.482038	0.023580	0.000000	--------	0.353159	0.259212	0.725979	0.000000	0.914092	
1.0	1.000000	96.000000	4597.000000	2.000000	691.000000	--------	0.017824	0.000435	280.498094	0.017453	0.000000	--------	0.249906	0.121982	0.979592	0.000000	0.466709	
2.0	1.000000	96.000000	4575.000000	24.000000	691.000000	--------	0.017824	0.005219	23.374841	0.013368	0.000000	--------	0.245822	0.121982	0.800000	0.000000	0.442005	
3.0	1.000000	256.000000	4599.000000	0.000000	531.000000	--------	0.047531	0.000000	INFINITY	0.047531	0.000000	--------	0.423875	0.325286	1.000000	0.000000	1.251264	
4.0	1.000000	58.000000	4439.000000	8.000000	881.000000	--------	0.010769	0.001799	34.335197	0.009283	0.000000	--------	0.223855	0.061768	0.878788	0.000000	0.207804	
5.0	1.000000	96.000000	4415.000000	32.000000	843.000000	--------	0.017824	0.007196	14.207668	0.011883	0.000000	--------	0.252812	0.102236	0.750000	0.000000	0.327750	
6.0	1.000000	128.000000	4447.000000	0.000000	811.000000	--------	0.023765	0.000000	INFINITY	0.023765	0.000000	--------	0.286891	0.136315	1.000000	0.000000	0.476215	
7.0	1.000000	96.000000	4447.000000	0.000000	843.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.258753	0.102236	1.000000	0.000000	0.357161	
8.0	1.000000	903.000000	3265.000000	393.000000	825.000000	--------	0.167657	0.107436	4.864018	0.094690	0.000000	--------	0.602777	0.522569	0.696759	0.000000	0.999342	
9.0	1.000000	84.000000	3640.000000	18.000000	1644.000000	--------	0.015596	0.004921	9.878858	0.012254	0.000000	--------	0.350505	0.048611	0.823529	0.000000	0.101088	
10.0	1.000000	290.000000	3605.000000	53.000000	1438.000000	--------	0.053843	0.014489	11.583028	0.044003	0.000000	--------	0.424972	0.167824	0.845481	0.000000	0.353408	
11.0	1.000000	150.000000	3610.000000	48.000000	1578.000000	--------	0.027850	0.013122	6.615307	0.018938	0.000000	--------	0.370875	0.086806	0.757576	0.000000	0.173268	
12.0	1.000000	162.000000	3634.000000	24.000000	1566.000000	--------	0.030078	0.006561	14.289062	0.025622	0.000000	--------	0.380048	0.093750	0.870968	0.000000	0.200206	
13.0	1.000000	108.000000	3658.000000	0.000000	1620.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.363280	0.062500	1.000000	0.000000	0.142105	
14.0	1.000000	192.000000	3634.000000	24.000000	1536.000000	--------	0.035648	0.006561	16.935185	0.031192	0.000000	--------	0.391839	0.111111	0.888889	0.000000	0.239544	
15.0	1.000000	468.000000	3479.000000	179.000000	1260.000000	--------	0.086892	0.048934	5.534683	0.053658	0.000000	--------	0.471539	0.270833	0.723338	0.000000	0.528070	
16.0	1.000000	108.000000	3636.000000	22.000000	1620.000000	--------	0.020052	0.006014	10.392045	0.015967	0.000000	--------	0.359195	0.062500	0.830769	0.000000	0.130517	
17.0	1.000000	404.000000	3482.000000	176.000000	1324.000000	--------	0.075009	0.048114	4.859243	0.042332	0.000000	--------	0.446941	0.233796	0.696552	0.000000	0.447033	
18.0	1.000000	340.000000	3530.000000	128.000000	1388.000000	--------	0.063127	0.034992	5.623011	0.039361	0.000000	--------	0.430699	0.196759	0.726496	0.000000	0.384498	
19.0	1.000000	452.000000	3534.000000	124.000000	1276.000000	--------	0.083921	0.033898	7.716435	0.060899	0.000000	--------	0.475462	0.261574	0.784722	0.000000	0.531323	
20.0	1.000000	70.000000	5023.000000	4.000000	289.000000	--------	0.012997	0.000796	245.048747	0.012254	0.000000	--------	0.247901	0.194986	0.945946	0.000000	1.045301	
21.0	2.000000	96.000000	5245.000000	1.000000	44.000000	--------	0.017824	0.000191	3597.257143	0.017638	0.000000	--------	0.693698	0.685714	0.989691	0.000000	4.998493	
