RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	55.000000	3253.000000	16.000000	2062.000000	--------	0.010212	0.004894	5.308072	0.007241	0.000000	--------	0.405854	0.025980	0.774648	0.000000	0.041887	
1.0	1.000000	109.000000	3831.000000	31.000000	1415.000000	--------	0.020238	0.008027	8.910295	0.014482	0.000000	--------	0.328485	0.071522	0.778571	0.000000	0.162687	
2.0	2.000000	75.000000	3235.000000	34.000000	2042.000000	--------	0.013925	0.010401	3.406249	0.007612	0.000000	--------	0.408246	0.035427	0.688073	0.000000	0.052920	
3.0	2.000000	57.000000	3242.000000	27.000000	2060.000000	--------	0.010583	0.008259	3.259907	0.005570	0.000000	--------	0.404385	0.026925	0.678571	0.000000	0.039845	
4.0	2.000000	72.000000	3259.000000	10.000000	2045.000000	--------	0.013368	0.003059	11.117997	0.011511	0.000000	--------	0.411842	0.034010	0.878049	0.000000	0.059095	
5.0	2.000000	74.000000	3260.000000	9.000000	2043.000000	--------	0.013739	0.002753	12.696478	0.012068	0.000000	--------	0.412601	0.034955	0.891566	0.000000	0.061270	
6.0	2.000000	67.000000	3260.000000	9.000000	2050.000000	--------	0.012440	0.002753	11.495460	0.010769	0.000000	--------	0.410594	0.031649	0.881579	0.000000	0.055118	
7.0	2.000000	95.000000	3224.000000	45.000000	2022.000000	--------	0.017638	0.013766	3.259907	0.009283	0.000000	--------	0.411938	0.044875	0.678571	0.000000	0.066408	
8.0	2.000000	61.000000	3240.000000	29.000000	2056.000000	--------	0.011326	0.008871	3.248074	0.005941	0.000000	--------	0.405160	0.028814	0.677778	0.000000	0.042607	
9.0	2.000000	53.000000	3253.000000	16.000000	2064.000000	--------	0.009840	0.004894	5.115051	0.006870	0.000000	--------	0.405281	0.025035	0.768116	0.000000	0.040152	
10.0	2.000000	108.000000	3232.000000	37.000000	2009.000000	--------	0.020052	0.011318	4.507296	0.013182	0.000000	--------	0.417150	0.051016	0.744828	0.000000	0.080248	
11.0	2.000000	121.000000	3214.000000	55.000000	1996.000000	--------	0.022466	0.016825	3.397166	0.012254	0.000000	--------	0.417535	0.057156	0.687500	0.000000	0.085329	
12.0	2.000000	54.000000	3257.000000	12.000000	2063.000000	--------	0.010026	0.003671	6.948748	0.007798	0.000000	--------	0.406310	0.025508	0.818182	0.000000	0.042520	
13.0	2.000000	88.000000	3231.000000	38.000000	2029.000000	--------	0.016339	0.011624	3.575964	0.009283	0.000000	--------	0.411230	0.041568	0.698413	0.000000	0.062712	
14.0	2.000000	76.000000	3233.000000	36.000000	2041.000000	--------	0.014111	0.011013	3.259907	0.007427	0.000000	--------	0.408161	0.035900	0.678571	0.000000	0.053126	
15.0	2.000000	106.000000	3231.000000	38.000000	2011.000000	--------	0.019681	0.011624	4.307411	0.012625	0.000000	--------	0.416391	0.050071	0.736111	0.000000	0.078172	
16.0	2.000000	54.000000	3267.000000	2.000000	2063.000000	--------	0.010026	0.000612	41.692489	0.009655	0.000000	--------	0.408167	0.025508	0.964286	0.000000	0.046711	
17.0	2.000000	107.000000	3851.000000	11.000000	1417.000000	--------	0.019866	0.002848	24.650084	0.017824	0.000000	--------	0.331257	0.070210	0.906780	0.000000	0.170405	
18.0	2.000000	98.000000	3860.000000	2.000000	1426.000000	--------	0.018195	0.000518	124.171916	0.017824	0.000000	--------	0.328694	0.064304	0.980000	0.000000	0.161065	
19.0	2.000000	99.000000	3859.000000	3.000000	1425.000000	--------	0.018381	0.000777	83.625984	0.017824	0.000000	--------	0.328978	0.064961	0.970588	0.000000	0.162082	
20.0	2.000000	99.000000	3859.000000	3.000000	1425.000000	--------	0.018381	0.000777	83.625984	0.017824	0.000000	--------	0.328978	0.064961	0.970588	0.000000	0.162082	
21.0	2.000000	97.000000	3862.000000	0.000000	1427.000000	--------	0.018010	0.000000	INFINITY	0.018010	0.000000	--------	0.328594	0.063648	1.000000	0.000000	0.160707	
22.0	2.000000	62.000000	3836.000000	26.000000	1462.000000	--------	0.011511	0.006732	6.042903	0.006684	0.000000	--------	0.307300	0.040682	0.704545	0.000000	0.088473	
23.0	2.000000	60.000000	3834.000000	28.000000	1464.000000	--------	0.011140	0.007250	5.430259	0.005941	0.000000	--------	0.305987	0.039370	0.681818	0.000000	0.084328	
24.0	2.000000	98.000000	3860.000000	2.000000	1426.000000	--------	0.018195	0.000518	124.171916	0.017824	0.000000	--------	0.328694	0.064304	0.980000	0.000000	0.161065	
25.0	2.000000	96.000000	3862.000000	0.000000	1428.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.328124	0.062992	1.000000	0.000000	0.159051	
26.0	2.000000	96.000000	3862.000000	0.000000	1428.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.328124	0.062992	1.000000	0.000000	0.159051	
27.0	2.000000	100.000000	3854.000000	8.000000	1424.000000	--------	0.018567	0.002071	31.676509	0.017081	0.000000	--------	0.328521	0.065617	0.925926	0.000000	0.160628	
28.0	2.000000	102.000000	3838.000000	24.000000	1422.000000	--------	0.018938	0.006214	10.770013	0.014482	0.000000	--------	0.326491	0.066929	0.809524	0.000000	0.154849	
29.0	2.000000	148.000000	3794.000000	68.000000	1376.000000	--------	0.027479	0.017607	5.515439	0.014853	0.000000	--------	0.339965	0.097113	0.685185	0.000000	0.208488	
30.0	2.000000	96.000000	3862.000000	0.000000	1428.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.328124	0.062992	1.000000	0.000000	0.159051	
31.0	2.000000	103.000000	3853.000000	9.000000	1421.000000	--------	0.019124	0.002330	29.001604	0.017453	0.000000	--------	0.329746	0.067585	0.919643	0.000000	0.164986	
32.0	2.000000	100.000000	3854.000000	8.000000	1424.000000	--------	0.018567	0.002071	31.676509	0.017081	0.000000	--------	0.328521	0.065617	0.925926	0.000000	0.160628	
33.0	2.000000	120.000000	3806.000000	56.000000	1404.000000	--------	0.022280	0.014500	5.430259	0.011883	0.000000	--------	0.329019	0.078740	0.681818	0.000000	0.168656	
34.0	2.000000	107.000000	3851.000000	11.000000	1417.000000	--------	0.019866	0.002848	24.650084	0.017824	0.000000	--------	0.331257	0.070210	0.906780	0.000000	0.170405	
35.0	2.000000	101.000000	3857.000000	5.000000	1423.000000	--------	0.018752	0.001295	51.189239	0.017824	0.000000	--------	0.329548	0.066273	0.952830	0.000000	0.164132	
36.0	2.000000	165.000000	3785.000000	77.000000	1359.000000	--------	0.030635	0.019938	5.430259	0.016339	0.000000	--------	0.346292	0.108268	0.681818	0.000000	0.231903	
37.0	2.000000	100.000000	3858.000000	4.000000	1424.000000	--------	0.018567	0.001036	63.353018	0.017824	0.000000	--------	0.329263	0.065617	0.961538	0.000000	0.163104	
38.0	2.000000	144.000000	3810.000000	52.000000	1380.000000	--------	0.026736	0.013465	7.017565	0.017081	0.000000	--------	0.341053	0.094488	0.734694	0.000000	0.209445	
39.0	3.000000	62.000000	3243.000000	26.000000	2055.000000	--------	0.011511	0.007954	3.682243	0.006684	0.000000	--------	0.406004	0.029287	0.704545	0.000000	0.044440	
40.0	3.000000	54.000000	3263.000000	6.000000	2063.000000	--------	0.010026	0.001835	13.897496	0.008912	0.000000	--------	0.407424	0.025508	0.900000	0.000000	0.044951	
41.0	3.000000	58.000000	3242.000000	27.000000	2059.000000	--------	0.010769	0.008259	3.317098	0.005756	0.000000	--------	0.404672	0.027397	0.682353	0.000000	0.040696	
42.0	3.000000	76.000000	3233.000000	36.000000	2041.000000	--------	0.014111	0.011013	3.259907	0.007427	0.000000	--------	0.408161	0.035900	0.678571	0.000000	0.053126	
43.0	3.000000	89.000000	3244.000000	25.000000	2028.000000	--------	0.016524	0.007648	5.497232	0.011883	0.000000	--------	0.413931	0.042041	0.780702	0.000000	0.068108	
44.0	3.000000	69.000000	3261.000000	8.000000	2048.000000	--------	0.012811	0.002447	13.318434	0.011326	0.000000	--------	0.411353	0.032593	0.896104	0.000000	0.057296	
45.0	3.000000	64.000000	3245.000000	24.000000	2053.000000	--------	0.011883	0.007342	4.117777	0.007427	0.000000	--------	0.406949	0.030231	0.727273	0.000000	0.046833	
46.0	3.000000	56.000000	3252.000000	17.000000	2061.000000	--------	0.010397	0.005200	5.086665	0.007241	0.000000	--------	0.405955	0.026453	0.767123	0.000000	0.042390	
47.0	3.000000	72.000000	3237.000000	32.000000	2045.000000	--------	0.013368	0.009789	3.474374	0.007427	0.000000	--------	0.407757	0.034010	0.692308	0.000000	0.051012	
48.0	3.000000	82.000000	3257.000000	12.000000	2035.000000	--------	0.015225	0.003671	10.551803	0.012997	0.000000	--------	0.414337	0.038734	0.872340	0.000000	0.067050	
49.0	3.000000	64.000000	3245.000000	24.000000	2053.000000	--------	0.011883	0.007342	4.117777	0.007427	0.000000	--------	0.406949	0.030231	0.727273	0.000000	0.046833	
50.0	3.000000	73.000000	3240.000000	29.000000	2044.000000	--------	0.013554	0.008871	3.887039	0.008169	0.000000	--------	0.408601	0.034483	0.715686	0.000000	0.052865	
51.0	3.000000	67.000000	3237.000000	32.000000	2050.000000	--------	0.012440	0.009789	3.233098	0.006498	0.000000	--------	0.406324	0.031649	0.676768	0.000000	0.046751	
52.0	3.000000	56.000000	3854.000000	8.000000	1468.000000	--------	0.010397	0.002071	17.738845	0.008912	0.000000	--------	0.307819	0.036745	0.875000	0.000000	0.087873	
53.0	3.000000	56.000000	3854.000000	8.000000	1468.000000	--------	0.010397	0.002071	17.738845	0.008912	0.000000	--------	0.307819	0.036745	0.875000	0.000000	0.087873	
54.0	3.000000	54.000000	3856.000000	6.000000	1470.000000	--------	0.010026	0.001554	22.807087	0.008912	0.000000	--------	0.307249	0.035433	0.900000	0.000000	0.085733	
55.0	3.000000	96.000000	3862.000000	0.000000	1428.000000	--------	0.017824	0.000000	INFINITY	0.017824	0.000000	--------	0.328124	0.062992	1.000000	0.000000	0.159051	
56.0	3.000000	55.000000	3835.000000	27.000000	1469.000000	--------	0.010212	0.006991	5.162098	0.005199	0.000000	--------	0.303820	0.036089	0.670732	0.000000	0.076709	
57.0	3.000000	114.000000	3844.000000	18.000000	1410.000000	--------	0.021166	0.004661	16.049431	0.017824	0.000000	--------	0.333251	0.074803	0.863636	0.000000	0.177906	
