RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	330.000000	866.000000	57.000000	4133.000000	--------	0.061270	0.061755	1.197330	0.050687	0.000000	--------	0.830718	0.073941	0.852713	0.207683	0.016018	
1.0	1.000000	3395.000000	615.000000	308.000000	1068.000000	--------	0.630338	0.333694	2.279627	0.573153	0.000000	--------	0.901806	0.760699	0.916824	0.000000	0.219936	
2.0	1.000000	1485.000000	587.000000	336.000000	2978.000000	--------	0.275715	0.364030	0.914033	0.213331	0.000000	--------	0.823267	0.332736	0.815486	0.072404	0.057228	
3.0	1.000000	78.000000	899.000000	24.000000	4385.000000	--------	0.014482	0.026002	0.672138	0.010026	0.000000	--------	0.827169	0.017477	0.764706	0.085533	0.001882	
4.0	1.000000	783.000000	775.000000	148.000000	3680.000000	--------	0.145377	0.160347	1.094145	0.117898	0.000000	--------	0.831217	0.175443	0.841031	0.292772	0.035586	
5.0	1.000000	680.000000	780.000000	143.000000	3783.000000	--------	0.126253	0.154930	0.983440	0.099703	0.000000	--------	0.828190	0.152364	0.826245	0.840769	0.028203	
6.0	1.000000	1380.000000	655.000000	268.000000	3083.000000	--------	0.256220	0.290358	1.064925	0.206461	0.000000	--------	0.831860	0.309209	0.837379	0.271980	0.061373	
7.0	1.000000	133.000000	858.000000	65.000000	4330.000000	--------	0.024694	0.070423	0.423168	0.012625	0.000000	--------	0.821668	0.029801	0.671717	0.000000	-0.000654	
8.0	1.000000	678.000000	873.000000	50.000000	3785.000000	--------	0.125882	0.054171	2.804365	0.116599	0.000000	--------	0.845380	0.151916	0.931319	0.000000	0.046305	
9.0	1.000000	539.000000	879.000000	44.000000	3924.000000	--------	0.100074	0.047671	2.533442	0.091905	0.000000	--------	0.841157	0.120771	0.924528	0.000000	0.035928	
10.0	1.000000	1431.000000	592.000000	331.000000	3032.000000	--------	0.265689	0.358613	0.894101	0.204233	0.000000	--------	0.822122	0.320636	0.812145	0.028006	0.053831	
11.0	1.000000	407.000000	887.000000	36.000000	4056.000000	--------	0.075566	0.039003	2.338120	0.068882	0.000000	--------	0.837574	0.091194	0.918736	0.000000	0.026556	
12.0	1.000000	385.000000	914.000000	9.000000	4078.000000	--------	0.071482	0.009751	8.846939	0.069811	0.000000	--------	0.841742	0.086265	0.977157	0.000000	0.030439	
13.0	1.000000	279.000000	844.000000	79.000000	4184.000000	--------	0.051801	0.085590	0.730385	0.037133	0.000000	--------	0.824675	0.062514	0.779330	0.013390	0.007917	
14.0	1.000000	411.000000	923.000000	0.000000	4052.000000	--------	0.076309	0.000000	INFINITY	0.076309	0.000000	--------	0.844411	0.092091	1.000000	0.000000	0.034623	
15.0	1.000000	649.000000	793.000000	130.000000	3814.000000	--------	0.120498	0.140845	1.032467	0.096361	0.000000	--------	0.829413	0.145418	0.833119	0.757816	0.028122	
16.0	1.000000	1228.000000	627.000000	296.000000	3235.000000	--------	0.227999	0.320693	0.857989	0.173041	0.000000	--------	0.820825	0.275151	0.805774	0.005608	0.044027	
17.0	1.000000	129.000000	887.000000	36.000000	4334.000000	--------	0.023951	0.039003	0.741075	0.017267	0.000000	--------	0.826899	0.028904	0.781818	0.114939	0.003753	
18.0	1.000000	112.000000	923.000000	0.000000	4351.000000	--------	0.020795	0.000000	INFINITY	0.020795	0.000000	--------	0.832930	0.025095	1.000000	0.000000	0.009435	
19.0	1.000000	144.000000	915.000000	8.000000	4319.000000	--------	0.026736	0.008667	3.722608	0.025251	0.000000	--------	0.832674	0.032265	0.947368	0.000015	0.010386	
20.0	1.000000	1687.000000	493.000000	430.000000	2776.000000	--------	0.313219	0.465872	0.811375	0.233383	0.000000	--------	0.813571	0.377997	0.796882	0.000001	0.056290	
21.0	1.000000	405.000000	923.000000	0.000000	4058.000000	--------	0.075195	0.000000	INFINITY	0.075195	0.000000	--------	0.844181	0.090746	1.000000	0.000000	0.034117	
22.0	1.000000	459.000000	923.000000	0.000000	4004.000000	--------	0.085221	0.000000	INFINITY	0.085221	0.000000	--------	0.846254	0.102846	1.000000	0.000000	0.038666	
23.0	1.000000	347.000000	911.000000	12.000000	4116.000000	--------	0.064426	0.013001	5.980301	0.062198	0.000000	--------	0.839726	0.077750	0.966574	0.000000	0.026588	
24.0	1.000000	255.000000	915.000000	8.000000	4208.000000	--------	0.047345	0.008667	6.592119	0.045860	0.000000	--------	0.836936	0.057136	0.969582	0.000000	0.019716	
25.0	1.000000	73.000000	923.000000	0.000000	4390.000000	--------	0.013554	0.000000	INFINITY	0.013554	0.000000	--------	0.831433	0.016357	1.000000	0.000002	0.006150	
26.0	1.000000	1157.000000	352.000000	571.000000	3306.000000	--------	0.214816	0.618635	0.419056	0.108801	0.000000	--------	0.767041	0.259243	0.669560	0.000000	-0.006525	
27.0	1.000000	833.000000	817.000000	106.000000	3630.000000	--------	0.154660	0.114843	1.625227	0.134980	0.000000	--------	0.840935	0.186646	0.887114	0.000000	0.047815	
28.0	1.000000	70.000000	912.000000	11.000000	4393.000000	--------	0.012997	0.011918	1.316074	0.010954	0.000000	--------	0.829275	0.015685	0.864198	0.459292	0.003608	
29.0	1.000000	619.000000	755.000000	168.000000	3844.000000	--------	0.114928	0.182015	0.762002	0.083736	0.000000	--------	0.821206	0.138696	0.786531	0.000873	0.018841	
30.0	1.000000	126.000000	909.000000	14.000000	4337.000000	--------	0.023394	0.015168	1.861304	0.020795	0.000000	--------	0.830869	0.028232	0.900000	0.022541	0.007640	
31.0	1.000000	661.000000	923.000000	0.000000	3802.000000	--------	0.122726	0.000000	INFINITY	0.122726	0.000000	--------	0.854011	0.148107	1.000000	0.000000	0.055683	
32.0	1.000000	66.000000	923.000000	0.000000	4397.000000	--------	0.012254	0.000000	INFINITY	0.012254	0.000000	--------	0.831164	0.014788	1.000000	0.000008	0.005560	
33.0	1.000000	578.000000	825.000000	98.000000	3885.000000	--------	0.107315	0.106176	1.219766	0.089120	0.000000	--------	0.832628	0.129509	0.855030	0.055957	0.028407	
34.0	1.000000	1255.000000	701.000000	222.000000	3208.000000	--------	0.233012	0.240520	1.169137	0.191794	0.000000	--------	0.835601	0.281201	0.849695	0.011954	0.059920	
35.0	1.000000	673.000000	774.000000	149.000000	3790.000000	--------	0.124954	0.161430	0.934122	0.097289	0.000000	--------	0.826807	0.150795	0.818735	0.421184	0.026535	
36.0	1.000000	940.000000	645.000000	278.000000	3523.000000	--------	0.174527	0.301192	0.699291	0.122911	0.000000	--------	0.813109	0.210621	0.771757	0.000000	0.024617	
37.0	1.000000	59.000000	911.000000	12.000000	4404.000000	--------	0.010954	0.013001	1.016824	0.008726	0.000000	--------	0.828667	0.013220	0.830986	1.000000	0.002523	
