RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
2.0	2.000000	60.000000	4429.000000	26.000000	871.000000	--------	0.011140	0.005836	11.042717	0.006313	0.000000	--------	0.221335	0.064447	0.697674	0.000000	0.203046	
12.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
14.0	2.000000	56.000000	3540.000000	25.000000	1765.000000	--------	0.010397	0.007013	4.385283	0.005756	0.000000	--------	0.353812	0.030752	0.691358	0.000000	0.055346	
15.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
16.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
17.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
18.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
19.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
20.0	2.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
21.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
25.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
30.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
31.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
33.0	2.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
34.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
35.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
37.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
38.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
40.0	3.000000	57.000000	3541.000000	24.000000	1764.000000	--------	0.010583	0.006732	4.649574	0.006127	0.000000	--------	0.354361	0.031301	0.703704	0.000000	0.056888	
41.0	3.000000	90.000000	3531.000000	34.000000	1731.000000	--------	0.016710	0.009537	5.182188	0.010397	0.000000	--------	0.364500	0.049423	0.725806	0.000000	0.091352	
42.0	3.000000	56.000000	3541.000000	24.000000	1765.000000	--------	0.010397	0.006732	4.568003	0.005941	0.000000	--------	0.353998	0.030752	0.700000	0.000000	0.055728	
43.0	3.000000	61.000000	3541.000000	24.000000	1760.000000	--------	0.011326	0.006732	4.975860	0.006870	0.000000	--------	0.355815	0.033498	0.717647	0.000000	0.061538	
44.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
45.0	3.000000	65.000000	3565.000000	0.000000	1756.000000	--------	0.012068	0.000000	INFINITY	0.012068	0.000000	--------	0.361725	0.035695	1.000000	0.000000	0.077416	
46.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
47.0	3.000000	64.000000	3549.000000	16.000000	1757.000000	--------	0.011883	0.004488	7.830862	0.008912	0.000000	--------	0.358391	0.035146	0.800000	0.000000	0.068382	
48.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
49.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
50.0	3.000000	64.000000	3547.000000	18.000000	1757.000000	--------	0.011883	0.005049	6.960766	0.008541	0.000000	--------	0.358020	0.035146	0.780488	0.000000	0.067514	
51.0	3.000000	67.000000	3565.000000	0.000000	1754.000000	--------	0.012440	0.000000	INFINITY	0.012440	0.000000	--------	0.362452	0.036793	1.000000	0.000000	0.079798	
52.0	3.000000	64.000000	3549.000000	16.000000	1757.000000	--------	0.011883	0.004488	7.830862	0.008912	0.000000	--------	0.358391	0.035146	0.800000	0.000000	0.068382	
55.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
56.0	3.000000	65.000000	3533.000000	32.000000	1756.000000	--------	0.012068	0.008976	3.976610	0.006127	0.000000	--------	0.355784	0.035695	0.670103	0.000000	0.063126	
58.0	3.000000	72.000000	3553.000000	12.000000	1749.000000	--------	0.013368	0.003366	11.746293	0.011140	0.000000	--------	0.362041	0.039539	0.857143	0.000000	0.079658	
59.0	3.000000	88.000000	3537.000000	28.000000	1733.000000	--------	0.016339	0.007854	6.152820	0.011140	0.000000	--------	0.364887	0.048325	0.758621	0.000000	0.091459	
61.0	3.000000	64.000000	3545.000000	20.000000	1757.000000	--------	0.011883	0.005610	6.264690	0.008169	0.000000	--------	0.357648	0.035146	0.761905	0.000000	0.066668	
62.0	3.000000	88.000000	3539.000000	26.000000	1733.000000	--------	0.016339	0.007293	6.626114	0.011511	0.000000	--------	0.365258	0.048325	0.771930	0.000000	0.092300	
63.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
64.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
65.0	3.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
66.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
67.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
68.0	3.000000	60.000000	3537.000000	28.000000	1761.000000	--------	0.011140	0.007854	4.195105	0.005941	0.000000	--------	0.354709	0.032949	0.681818	0.000000	0.058842	
69.0	3.000000	101.000000	3529.000000	36.000000	1720.000000	--------	0.018752	0.010098	5.492480	0.012068	0.000000	--------	0.368126	0.055464	0.737226	0.000000	0.103384	
70.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
71.0	3.000000	118.000000	3565.000000	0.000000	1703.000000	--------	0.021909	0.000000	INFINITY	0.021909	0.000000	--------	0.380990	0.064800	1.000000	0.000000	0.140540	
72.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
73.0	3.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
77.0	3.000000	57.000000	3541.000000	24.000000	1764.000000	--------	0.010583	0.006732	4.649574	0.006127	0.000000	--------	0.354361	0.031301	0.703704	0.000000	0.056888	
80.0	3.000000	56.000000	3541.000000	24.000000	1765.000000	--------	0.010397	0.006732	4.568003	0.005941	0.000000	--------	0.353998	0.030752	0.700000	0.000000	0.055728	
81.0	3.000000	66.000000	3565.000000	0.000000	1755.000000	--------	0.012254	0.000000	INFINITY	0.012254	0.000000	--------	0.362089	0.036244	1.000000	0.000000	0.078607	
82.0	3.000000	65.000000	3565.000000	0.000000	1756.000000	--------	0.012068	0.000000	INFINITY	0.012068	0.000000	--------	0.361725	0.035695	1.000000	0.000000	0.077416	
85.0	3.000000	66.000000	3565.000000	0.000000	1755.000000	--------	0.012254	0.000000	INFINITY	0.012254	0.000000	--------	0.362089	0.036244	1.000000	0.000000	0.078607	
89.0	4.000000	107.000000	3548.000000	17.000000	1714.000000	--------	0.019866	0.004769	12.322092	0.016710	0.000000	--------	0.373835	0.058759	0.862903	0.000000	0.118774	
