RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
0.0	1.000000	64.000000	3565.000000	0.000000	1757.000000	--------	0.011883	0.000000	INFINITY	0.011883	0.000000	--------	0.361362	0.035146	1.000000	0.000000	0.076225	
1.0	1.000000	70.000000	3561.000000	4.000000	1751.000000	--------	0.012997	0.001122	34.260022	0.012254	0.000000	--------	0.362800	0.038440	0.945946	0.000000	0.081235	
2.0	2.000000	60.000000	4429.000000	26.000000	871.000000	--------	0.011140	0.005836	11.042717	0.006313	0.000000	--------	0.221335	0.064447	0.697674	0.000000	0.203046	
3.0	2.000000	70.000000	3561.000000	4.000000	1751.000000	--------	0.012997	0.001122	34.260022	0.012254	0.000000	--------	0.362800	0.038440	0.945946	0.000000	0.081235	
4.0	2.000000	72.000000	3529.000000	36.000000	1749.000000	--------	0.013368	0.010098	3.915431	0.006684	0.000000	--------	0.357586	0.039539	0.666667	0.000000	0.069721	
5.0	2.000000	58.000000	3540.000000	25.000000	1763.000000	--------	0.010769	0.007013	4.541900	0.006127	0.000000	--------	0.354539	0.031851	0.698795	0.000000	0.057664	
6.0	2.000000	64.000000	3541.000000	24.000000	1757.000000	--------	0.011883	0.006732	5.220575	0.007427	0.000000	--------	0.356906	0.035146	0.727273	0.000000	0.065033	
7.0	2.000000	92.000000	3523.000000	42.000000	1729.000000	--------	0.017081	0.011781	4.288329	0.009283	0.000000	--------	0.363741	0.050522	0.686567	0.000000	0.090574	
8.0	2.000000	78.000000	3549.000000	16.000000	1743.000000	--------	0.014482	0.004488	9.543863	0.011511	0.000000	--------	0.363480	0.042834	0.829787	0.000000	0.084907	
9.0	2.000000	65.000000	3564.000000	1.000000	1756.000000	--------	0.012068	0.000281	127.251510	0.011883	0.000000	--------	0.361539	0.035695	0.984848	0.000000	0.076871	
10.0	2.000000	80.000000	3532.000000	33.000000	1741.000000	--------	0.014853	0.009257	4.745977	0.008726	0.000000	--------	0.361050	0.043932	0.707965	0.000000	0.080109	
11.0	2.000000	65.000000	3564.000000	1.000000	1756.000000	--------	0.012068	0.000281	127.251510	0.011883	0.000000	--------	0.361539	0.035695	0.984848	0.000000	0.076871	
12.0	2.000000	70.000000	3565.000000	0.000000	1751.000000	--------	0.012997	0.000000	INFINITY	0.012997	0.000000	--------	0.363543	0.038440	1.000000	0.000000	0.083371	
13.0	2.000000	60.000000	3537.000000	28.000000	1761.000000	--------	0.011140	0.007854	4.195105	0.005941	0.000000	--------	0.354709	0.032949	0.681818	0.000000	0.058842	
14.0	2.000000	56.000000	3540.000000	25.000000	1765.000000	--------	0.010397	0.007013	4.385283	0.005756	0.000000	--------	0.353812	0.030752	0.691358	0.000000	0.055346	
