@relation com_sug_op



@attribute com_sug_op {a, b, c, d, e, f, g, h, i, j, k, l, m, n, ñ, o, p, q}

@attribute text String



@data

a,'No hace'
a,'No hace'
a,'No hace'
c,'Por desconocimiento del médico'
c,'Falta de conocimiento del médico'
c,'Carencia de conocimiento del médico'
c,'No conocimiento del médico'
c,'Inexperiencia del médico'
c,'Por desconocimiento del personal médico'
c,'Falta de conocimiento del personal médico'
c,'Carencia de conocimiento del personal médico'
c,'No conocimiento del personal médico'
c,'Inexperiencia del personal médico'
c,'Por desconocimiento del facultativo'
c,'Falta de conocimiento del facultativo'
c,'Carencia de conocimiento del facultativo'
c,'No conocimiento del facultativo'
c,'Inexperiencia del facultativo'
c,'Desconocimiento de los estudiantes de medicina para la realización de las autopsias, como motivos para no solicitar'
c,'La falta de conocimiento de los estudiantes de medicina es un motivo para no solicitar autopsias'
c,'La carencia de conocimiento de los estudiantes de medicina es un motivo para no solicitar autopsias'
c,'El desconocimiento de los estudiantes de medicina es un motivo para no solicitar autopsias'
c,'El poco conocimiento de los estudiantes de medicina es un motivo para no solicitar autopsias'
c,'El poco conocimiento de los estudiantes atenta contra la solicitud de autopsias'
c,'La falta de conocimiento de los estudiantes atenta contra la solicitud de autopsias'
c,'El desconocimiento de los estudiantes atenta contra la solicitud de autopsias'
c,'La inexperiencia de los estudiantes atenta contra la solicitud de autopsias'
b,'Debería ser un procedimiento de solicitud rutinario en la práctica médica'
b,'Debería ser un procedimiento de solicitud fecuente en la práctica médica'
b,'Las solicitudes de autopsias deberían ser rutinarias en la práctica médica'
b,'Las solicitudes de autopsias deberían ser frecuentes en la práctica médica'
b,'Las autopsias deberían ser procedimientos rutinarios en el ejercicio médico'
b,'Debería ser un procedimiento de solicitud rutinario en el ejercicio médico'
b,'Debería ser un procedimiento de solicitud fecuente en el ejercicio médico'
b,'Las solicitudes de autopsias deberían ser rutinarias en el ejercicio médico'
b,'Las solicitudes de autopsias deberían ser frecuentes en la práctica médica'
b,'Las solicitudes de autopsias deberían ser frecuentes en el ejercicio médico'
b,'Es recomendable que las solicitudes de autopsia fueran más frecuentes en la práctica médica'
b,'Es recomendable que las solicitudes de autopsia fueran más frecuentes en el ejercicio médico'
b,'Debería ser un procedimiento de solicitud más frecuente'
b,'Debería ser un procedimiento de solicitud más rutinario'
k,'Gracias'
k,'Agradecimientos'
k,'Gratificación'
c,'Falta de comunicación médico-paciente'
c,'Poca comunicación médico-paciente'
c,'Carencia de comunicación médico-paciente'
c,'Incomunicación médico-paciente'
c,'Poca comunicación entre médico y paciente'
c,'Falta de comunicación entre médico y paciente'
c,'Carencia de comunicación entre médico y paciente'
c,'Incomunicación entre médico y paciente'
c,'Desconocimiento sobre la autopsia'
c,'Poco conocimiento sobre la autopsia'
c,'Falta de conocimiento sobre la autopsia'
c,'Carencia de conocimiento sobre la autopsia'
c,'Poca información sobre la autopsia'
c,'Desconocimiento de la autopsia'
c,'Poco conocimiento de la autopsia'
c,'Falta de conocimiento de la autopsia'
c,'Carencia de conocimiento de la autopsia'
c,'Poca información de la autopsia'
c,'La vuelven una práctica infrecuente en nuestro hospital'
c,'La vuelven una práctica poco frecuente en nuestro hospital'
