@relation mcc_aut



@attribute mcc_aut {a, b, c, d,e, f, g, h, i}

@attribute text String



@data

a,'Corroborar el diagnóstico de defunción'
a,'Verificar el diagnóstico de defunción'
a,'Corroborar las causas de defunción'
a,'Corroborar las causas de muerte'
a,'Verificar el diagnóstico del deceso'
b,'La práctica de autopsias se reduce a fines legales y policiales, intervención de la ley'
b,'La realización de autopsias se reduce a objetivos legales y policiales'
b,'La práctica de autopsias está relacionada con fines legales y policiales'
b,'La práctica de autopsias contempla la intervención de la ley, tiene fines legales y policiales'
b,'Las autopsias se hacen por motivos legales y policiales'
c,'El uso médico o de investigación no se hace con la frecuencia que se debería de tener'
c,'La utilidad médica e investigativa no se practica con la frecuencia recomendada'
c,'El uso médico o de investigación no se realiza con la frecuencia indicada'
c,'No se hace con la frecuencia que debería tener para uso médico o de investigación'
c,'No se hace el uso médico o investigativo con la frecuencia idónea'
a,'Para corroborar la causa de muerte'
a,'Para corroborar la causa de defunción'
a,'Para verificar la causa de muerte'
a,'Para corroborar el diagnóstico de defunción'
a,'Para verificar el diagnóstico del deceso'
a,'Diagnóstico incierto'
a,'Diagnóstico poco claro'
a,'Diagnóstico dudoso'
a,'Diagnóstico falto de claridad'
a,'Para corroborar el diagnóstico'
a,'Para verificar el diagnóstico'
a,'Duda diagnóstica'
a,'Duda en el diagnóstico'
a,'Poca claridad diagnóstica'
a,'Poca claridad en el diagnóstico'
a,'Incertidumbre diagnóstica'
a,'Incertidumbre en el diagnóstico'
a,'Confirmación diagnóstica'
a,'Verificación diagnóstica'
a,'Corroboración diagnóstica'
a,'Confirmación del diagnóstico'
a,'Corroboración del diagnóstico'
a,'Verificación del diagnóstico'
c,'Motivo de estudio y enseñanza'
c,'Útil para el estudio y enseñanza'
c,'Motivo de aprendizaje'
c,'Motivo educativo'
c,'Objeto de estudio y enseñanza'
c,'Importante para el estudio y enseñanza'
c,'Importante para el aprendizaje'
c,'Importante para la educación'
c,'Motivo de aprendizaje médico'
a,'Cuando existe duda sobre las causas que llevan a la muerte'
a,'Cuando están poco claras las causas que llevan a la muerte'
a,'Cuando hay dudas sobre las causas de la muerte'
a,'Cuando existe duda sobre el diagnóstico'
a,'Cuando hay poca claridad sobre las causas que llevan a la muerte'
a,'Cuando hay poca claridad en el diagnóstico'
a,'Explicar la causa de muerte'
a,'Comprobar la causa de muerte'
a,'Establecer la causa de muerte'
a,'Explicar la causa del deceso'
a,'Explicar la causa de defunción'
a,'Comprobar la causa de defunción'
a,'Establecer la causa del deceso'
b,'Tiempo de fallecimiento'
b,'Tiempo de deceso'
b,'Tiempo de muerte'
b,'Tiempo de defunción'
b,'Período de fallecimiento'
b,'Período de muerte'
a,'Si existen anormalidades fisiológicas en el fallecido'
a,'Si existen anomalías fisiológicas en el difunto'
a,'Si hay anormalidades fisiológicas en el muerto'
a,'Para comprobar anormalidades fisiológicas en el difunto'
