@relation mcc_no_aut



@attribute mcc_no_aut {a, b, c, d, e, f, g, h, i, j, k, l, m, n, ñ, o, p, q, r, s, t, u}

@attribute text String



@data

a,'Que no exista el servicio'
a,'Que no haya servicio'
a,'Que esté el servicio'
a,'No existe el servicio'
a,'No hay servicio'
a,'Inexistencia del servicio'
a,'Ausencia del servicio'
a,'Carencia del servicio'
a,'No disponibilidad del servicio'
a,'No se brinda el servicio'
a,'No se ofrece el servicio'
a,'No se da el servicio'
a,'Falta del servicio'
b,'Miedo a la demanda'
b,'Temor a la demanda'
b,'Temor a demandas'
b,'Miedo a demandas'
b,'Demanda'
b,'Evitar demandas'
b,'Prevenir una demanda'
b,'Prevenir la demanda'
c,'Negativa de los familiares'
c,'Renuencia de los familiares'
c,'Desinterés de los familiares'
c,'Negación de la familia'
c,'Negativa de la familia'
c,'Renuencia de la familia'
c,'Negativa del familiar'
c,'Renuencia del familiar'
c,'Desinterés del familiar'
c,'Renuencia del familiar'
d,'Por el propio desconocimiento de médico'
d,'Desconocimiento del médico'
d,'Falta de conocimiento del médico'
d,'Carencia de conocimiento del médico'
d,'No conocimiento del médico'
d,'Desconocimiento del facultativo'
d,'Falta de conocimiento del facultativo'
d,'No conocimiento del facultativo'
d,'Carencia de conocimiento del facultativo'
b,'Temor a descubrir que la causa de muerte sea por negligencia / iatrogenia'
b,'Temor a descubrir que la causa de muerte sea por negligencia'
b,'Temor a hallar que la causa de muerte sea por negligencia'
b,'Miedo a descubrir que la causa de muerte sea por negligencia'
b,'Miedo a que revele que la muerte es por negligencia médica'
b,'Temor a que los resultados muestren negligencias'
b,'Temor a que se descubra que la negligencia es la causa de muerte'
b,'Miedo a descubrimiento de negligencia como causa de muerte'
b,'Temor a descubrimiento de negligencia como motivo de muerte'
c,'Aprehensión del familiar'
c,'Apego del familiar'
c,'Emociones del familiar'
c,'Emociones familiares'
c,'Aferramiento del familiar'
c,'Aprehensión de la familia'
c,'Apego de la familia'
c,'Emociones de la familia'
c,'Aferramiento de la familia'
c,'Renuencia'
c,'Negación'
c,'Oposición'
c,'Negativa'
q,'Prejuicio'
q,'Opinión negativa'
q,'Desestimación'
b,'Evitar demanda en caso de no resultar el diagnóstico de muerte confirmado'
b,'Evitar demandas en diagnósticos no confirmados'
b,'Evitar demandas en diagnósticos no constatados'
b,'Prevenir demandas en diagnósticos no confirmados'
b,'Prevenir demandas en diagnósticos no constatados'
b,'Evitar demandas en diagnósticos por confirmar'
b,'Evitar demandas en diagnósticos por constatar'
b,'Evitar demandas en diagnósticos por comprobar'
b,'Prevenir demandas en diagnósticos por confirmar'
b,'Prevenir demandas en diagnósticos por constatar'
b,'Prevenir demandas en diagnósticos por comprobar'
b,'Prevenir demandas ante falta de confirmaciones de diagnóstico'
b,'Evitar demandas ante no confirmaciones del diagnóstico de muerte'
e,'Desinterés habitualmente'
e,'Desinterés mayormente'
e,'Desinterés frecuentemente'
e,'Frecuente desinterés'
e,'Falta de interés habitual'
e,'Desinterés habitual'
e,'Desinterés frecuente'
d,'Por desconocimiento del médico'
d,'Por no conocimiento del médico'
d,'Por falta de conocimiento del médico'
d,'Por carencia de conocimiento del médico'
d,'Debido al desconocimiento del médico'
d,'Desconocimiento de los estudiantes de medicina para la realización de las autopsias'
d,'Falta de conocimiento de los estudiantes de medicina para la realización de las autopsias'
d,'Falta de preparación de los estudiantes de medicina para la realización de las autopsias'
d,'Falta de experiencia de los estudiantes para realizar autopsias'
d,'Inexperiencia de los estudiantes de medicina para la realización de las autopsias'
c,'Cuando la familia no está de acuerdo'
c,'Cuando la familia está en desacuerdo'
c,'Cuando la familia se opone'
c,'Oposición de la familia'
c,'Desacuerdo de la familia'
c,'Renuencia de los familiares'
c,'Negación de la familia'
f,'Enfermedad de base conocida'
f,'Enfermedades de base conocida'
f,'Enfermedades conocidas'
f,'Enfermedad conocida'
t,'Falta de comunicación médico-paciente'
t,'No comunicación médico-paciente'
