centro_hospitalario,area,categoria,ult_grado,esc_med_gral,esc_esp,anios_prac,casos,hall_disc,hall_arb,hall_dem,mcc_aut,mcc_no_aut,rechazo_fam,no_hosp,per_sol_aut,med_aut,fmr_sol_aut,com_sug_op
H11,a3,c1,g2,c1,c39,3a,4a,7a,8a,11a,14a,16o,17f,18d,19b,20a,21d,22i
H1,a1,c2,g8,c1,c39,3a,4a,7c,8c,11b,14a,16a,17c,18a,19d,20a,21c,22a
H1,a1,c2,g8,c1,c39,3a,4a,7c,8b,11d,14b,16b,17c,18a,19d,20a,21c,22a
H1,a1,c2,g8,c1,c39,3a,4a,7c,8b,11d,14b,16c,17c,18a,19d,20a,21c,22a
H1,a1,c2,g8,c1,c39,3a,4a,7c,8b,11d,14b,16d,17c,18a,19d,20a,21c,22a
H1,a1,c2,g8,c1,c39,3a,4a,7c,8b,11d,14c,16b,17c,18a,19d,20a,21c,22a
H1,a1,c2,g8,c1,c39,3a,4a,7c,8b,11d,14c,16c,17c,18a,19d,20a,21c,22a
H1,a1,c2,g8,c1,c39,3a,4a,7c,8b,11d,14c,16d,17c,18a,19d,20a,21c,22a
H1,a1,c3,g8,c1,c39,3a,4a,7b,8b,11b,14a,16b,17a,18b,19a,20d,21c,22a
H1,a1,c3,g8,c1,c39,3a,4a,7b,8b,11b,14a,16b,17a,18b,19a,20e,21c,22a
H1,a1,c3,g8,c1,c39,3a,4a,7b,8b,11b,14a,16b,17a,18c,19a,20d,21c,22a
H1,a1,c3,g8,c1,c39,3a,4a,7b,8b,11b,14a,16b,17a,18c,19a,20e,21c,22a
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16b,17f,18d,19a,20a,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16b,17f,18d,19a,20a,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16b,17f,18d,19a,20a,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16b,17f,18d,19a,20e,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16b,17f,18d,19a,20e,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16b,17f,18d,19a,20e,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16c,17f,18d,19a,20a,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16c,17f,18d,19a,20a,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16c,17f,18d,19a,20a,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16c,17f,18d,19a,20e,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16c,17f,18d,19a,20e,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16c,17f,18d,19a,20e,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16e,17f,18d,19a,20a,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16e,17f,18d,19a,20a,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16e,17f,18d,19a,20a,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16e,17f,18d,19a,20e,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16e,17f,18d,19a,20e,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16e,17f,18d,19a,20e,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16q,17f,18d,19a,20a,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16q,17f,18d,19a,20a,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16q,17f,18d,19a,20a,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16q,17f,18d,19a,20e,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16q,17f,18d,19a,20e,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14a,16q,17f,18d,19a,20e,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20a,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20a,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20a,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20e,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20e,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16b,17f,18d,19a,20e,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20a,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20a,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20a,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20e,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20e,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16c,17f,18d,19a,20e,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20a,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20a,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20a,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20e,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20e,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16e,17f,18d,19a,20e,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20a,21c,22b
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20a,21c,22c
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20a,21c,22k
H1,a3,c2,g1,c1,c4,3c,4b,7a,8b,11b,14c,16q,17f,18d,19a,20e,21c,22b
